Data; C̢mbio
01/1995;0.8471
02/1995;0.8408
03/1995;0.8894
04/1995;0.9075
05/1995;0.8974
06/1995;0.9140
07/1995;0.9288
08/1995;0.9420
09/1995;0.9528
10/1995;0.9597
11/1995;0.9634
12/1995;0.9683
01/1996;0.9745
02/1996;0.9811
03/1996;0.9861
04/1996;0.9902
05/1996;0.9953
06/1996;1.0013
07/1996;1.0069
08/1996;1.0134
09/1996;1.0193
10/1996;1.0251
11/1996;1.0304
12/1996;1.0373
01/1997;1.0429
02/1997;1.0493
03/1997;1.0567
04/1997;1.0609
05/1997;1.0683
06/1997;1.0746
07/1997;1.0807
08/1997;1.0879
09/1997;1.0936
10/1997;1.1001
11/1997;1.1073
12/1997;1.1136
01/1998;1.1199
02/1998;1.1271
03/1998;1.1337
04/1998;1.1412
05/1998;1.1481
06/1998;1.1546
07/1998;1.1615
08/1998;1.1717
09/1998;1.1809
10/1998;1.1884
11/1998;1.1937
12/1998;1.2054
01/1999;1.5019
02/1999;1.9137
03/1999;1.8968
04/1999;1.6941
05/1999;1.6835
06/1999;1.7654
07/1999;1.8003
08/1999;1.8807
09/1999;1.8981
10/1999;1.9695
11/1999;1.9299
12/1999;1.8428
01/2000;1.8037
02/2000;1.7753
03/2000;1.7420
04/2000;1.7682
05/2000;1.8279
06/2000;1.8083
07/2000;1.7978
08/2000;1.8092
09/2000;1.8392
10/2000;1.8796
11/2000;1.9480
12/2000;1.9633
01/2001;1.9545
02/2001;2.0019
03/2001;2.0890
04/2001;2.1925
05/2001;2.2972
06/2001;2.3758
07/2001;2.4660
08/2001;2.5106
09/2001;2.6717
10/2001;2.7402
11/2001;2.5431
12/2001;2.3627
01/2002;2.3779
02/2002;2.4196
03/2002;2.3466
04/2002;2.3204
05/2002;2.4804
06/2002;2.7140
07/2002;2.9346
08/2002;3.1101
09/2002;3.3420
10/2002;3.8059
11/2002;3.5764
12/2002;3.6259
01/2003;3.4384
02/2003;3.5908
03/2003;3.4469
04/2003;3.1187
05/2003;2.9557
06/2003;2.8832
07/2003;2.8798
08/2003;3.0025
09/2003;2.9228
10/2003;2.8615
11/2003;2.9138
12/2003;2.9253
01/2004;2.8518
02/2004;2.9303
03/2004;2.9055
04/2004;2.9060
05/2004;3.1004
06/2004;3.1291
07/2004;3.0368
08/2004;3.0029
09/2004;2.8911
10/2004;2.8529
11/2004;2.7860
12/2004;2.7182
01/2005;2.6930
02/2005;2.5978
03/2005;2.7047
04/2005;2.5792
05/2005;2.4528
06/2005;2.4135
07/2005;2.3735
08/2005;2.3606
09/2005;2.2944
10/2005;2.2565
11/2005;2.2108
12/2005;2.2855
01/2006;2.2739
02/2006;2.1619
03/2006;2.1520
04/2006;2.1293
05/2006;2.1781
06/2006;2.2483
07/2006;2.1893
08/2006;2.1559
09/2006;2.1687
10/2006;2.1483
11/2006;2.1579
12/2006;2.1499
01/2007;2.1385
02/2007;2.0963
03/2007;2.0887
04/2007;2.0320
05/2007;1.9816
06/2007;1.9319
07/2007;1.8828
08/2007;1.9660
09/2007;1.8996
10/2007;1.8010
11/2007;1.7699
12/2007;1.7860
01/2008;1.7743
02/2008;1.7277
03/2008;1.7076
04/2008;1.6889
05/2008;1.6605
06/2008;1.6189
07/2008;1.5914
08/2008;1.6123
09/2008;1.7996
10/2008;2.1729
11/2008;2.2663
12/2008;2.3944
01/2009;2.3074
02/2009;2.3127
03/2009;2.3138
04/2009;2.2059
05/2009;2.0609
06/2009;1.9576
07/2009;1.9328
08/2009;1.8452
09/2009;1.8198
10/2009;1.7384
11/2009;1.7262
12/2009;1.7503
01/2010;1.7798
02/2010;1.8416
03/2010;1.7858
04/2010;1.7566
05/2010;1.8132
06/2010;1.8065
07/2010;1.7696
08/2010;1.7596
09/2010;1.7187
10/2010;1.6835
11/2010;1.7133
12/2010;1.6934
01/2011;1.6749
02/2011;1.6680
03/2011;1.6591
04/2011;1.5864
05/2011;1.6135
06/2011;1.5870
07/2011;1.5639
08/2011;1.5970
09/2011;1.7498
10/2011;1.7726
11/2011;1.7905
12/2011;1.8369
01/2012;1.7897
02/2012;1.7184
03/2012;1.7953
04/2012;1.8548
05/2012;1.9860
06/2012;2.0492
07/2012;2.0287
08/2012;2.0294
09/2012;2.0281
10/2012;2.0298
11/2012;2.0678
12/2012;2.0778
01/2013;2.0311
02/2013;1.9733
03/2013;1.9828
04/2013;2.0022
05/2013;2.0348
06/2013;2.1730
07/2013;2.2522
08/2013;2.3422
09/2013;2.2705
10/2013;2.1886
11/2013;2.2954
12/2013;2.3455
01/2014;2.3822
02/2014;2.3837
03/2014;2.3261
04/2014;2.2328
05/2014;2.2209
06/2014;2.2355
07/2014;2.2246
08/2014;2.2680
09/2014;2.3329
10/2014;2.4483
11/2014;2.5484
12/2014;2.6394
01/2015;2.6342
02/2015;2.8165
03/2015;3.1395
04/2015;3.0432
05/2015;3.0617
06/2015;3.1117
07/2015;3.2231
08/2015;3.5143
09/2015;3.9065
10/2015;3.8801
11/2015;3.7765
12/2015;3.8711
01/2016;4.0524
02/2016;3.9737
03/2016;3.7039
04/2016;3.5658
05/2016;3.5393
06/2016;3.4245
07/2016;3.2756
08/2016;3.2097
09/2016;3.2564
10/2016;3.1858
11/2016;3.3420
12/2016;3.3523
01/2017;3.1966
02/2017;3.1042
03/2017;3.1279
04/2017;3.1362
05/2017;3.2095
06/2017;3.2954
07/2017;3.2061
08/2017;3.1509
09/2017;3.1348
10/2017;3.1912
11/2017;3.2594
12/2017;3.2919
01/2018;3.2106
02/2018;3.2415
03/2018;3.2792
04/2018;3.4075
05/2018;3.6361
06/2018;3.7732
07/2018;3.8288
08/2018;3.9298
09/2018;4.1165
10/2018;3.7584
11/2018;3.7867
12/2018;3.8851
01/2019;3.7417
02/2019;3.7236
03/2019;3.8465
04/2019;3.8962
05/2019;4.0015
06/2019;3.8588
07/2019;3.7793
08/2019;4.0200
09/2019;4.1215
10/2019;4.0870
11/2019;4.1553
12/2019;4.1096
01/2020;4.1495
02/2020;4.3410
03/2020;4.8839
04/2020;5.3256
05/2020;5.6434
06/2020;5.1966
07/2020;5.2802
08/2020;5.4612
09/2020;5.3995
10/2020;5.6258
11/2020;5.4178
12/2020;5.1456
01/2021;5.3562
02/2021;5.4165
03/2021;5.6461
04/2021;5.5621
05/2021;5.2911
06/2021;5.0319
07/2021;5.1567
08/2021;5.2517
09/2021;5.2797
10/2021;5.5400